year,city,country,avg_temp
1857,Johannesburg,South Africa,14.25
1858,Johannesburg,South Africa,14.55
1859,Johannesburg,South Africa,14.62
1860,Johannesburg,South Africa,14.75
1861,Johannesburg,South Africa,14.57
1862,Johannesburg,South Africa,14.17
1863,Johannesburg,South Africa,14.58
1864,Johannesburg,South Africa,14.58
1865,Johannesburg,South Africa,14.91
1866,Johannesburg,South Africa,14.83
1867,Johannesburg,South Africa,14.92
1868,Johannesburg,South Africa,14.58
1869,Johannesburg,South Africa,14.92
1870,Johannesburg,South Africa,14.60
1871,Johannesburg,South Africa,14.70
1872,Johannesburg,South Africa,14.70
1873,Johannesburg,South Africa,13.91
1874,Johannesburg,South Africa,14.72
1875,Johannesburg,South Africa,14.45
1876,Johannesburg,South Africa,14.45
1877,Johannesburg,South Africa,14.93
1878,Johannesburg,South Africa,14.85
1879,Johannesburg,South Africa,14.37
1880,Johannesburg,South Africa,15.00
1881,Johannesburg,South Africa,14.67
1882,Johannesburg,South Africa,14.47
1883,Johannesburg,South Africa,14.69
1884,Johannesburg,South Africa,14.38
1885,Johannesburg,South Africa,14.76
1886,Johannesburg,South Africa,14.88
1887,Johannesburg,South Africa,14.44
1888,Johannesburg,South Africa,14.79
1889,Johannesburg,South Africa,15.23
1890,Johannesburg,South Africa,14.67
1891,Johannesburg,South Africa,14.73
1892,Johannesburg,South Africa,14.78
1893,Johannesburg,South Africa,14.48
1894,Johannesburg,South Africa,14.55
1895,Johannesburg,South Africa,14.71
1896,Johannesburg,South Africa,15.29
1897,Johannesburg,South Africa,14.82
1898,Johannesburg,South Africa,14.22
1899,Johannesburg,South Africa,14.59
1900,Johannesburg,South Africa,15.13
1901,Johannesburg,South Africa,14.56
1902,Johannesburg,South Africa,14.49
1903,Johannesburg,South Africa,14.68
1904,Johannesburg,South Africa,14.35
1905,Johannesburg,South Africa,14.66
1906,Johannesburg,South Africa,14.36
1907,Johannesburg,South Africa,14.27
1908,Johannesburg,South Africa,14.80
1909,Johannesburg,South Africa,14.77
1910,Johannesburg,South Africa,14.19
1911,Johannesburg,South Africa,14.57
1912,Johannesburg,South Africa,15.16
1913,Johannesburg,South Africa,15.18
1914,Johannesburg,South Africa,15.33
1915,Johannesburg,South Africa,14.78
1916,Johannesburg,South Africa,14.95
1917,Johannesburg,South Africa,14.21
1918,Johannesburg,South Africa,14.50
1919,Johannesburg,South Africa,15.11
1920,Johannesburg,South Africa,15.13
1921,Johannesburg,South Africa,14.49
1922,Johannesburg,South Africa,15.27
1923,Johannesburg,South Africa,15.42
1924,Johannesburg,South Africa,14.40
1925,Johannesburg,South Africa,14.78
1926,Johannesburg,South Africa,15.26
1927,Johannesburg,South Africa,15.18
1928,Johannesburg,South Africa,15.16
1929,Johannesburg,South Africa,15.17
1930,Johannesburg,South Africa,14.75
1931,Johannesburg,South Africa,15.17
1932,Johannesburg,South Africa,15.40
1933,Johannesburg,South Africa,15.21
1934,Johannesburg,South Africa,15.17
1935,Johannesburg,South Africa,14.56
1936,Johannesburg,South Africa,14.67
1937,Johannesburg,South Africa,15.08
1938,Johannesburg,South Africa,15.28
1939,Johannesburg,South Africa,14.57
1940,Johannesburg,South Africa,15.32
1941,Johannesburg,South Africa,15.90
1942,Johannesburg,South Africa,15.30
1943,Johannesburg,South Africa,14.67
1944,Johannesburg,South Africa,15.26
1945,Johannesburg,South Africa,15.18
1946,Johannesburg,South Africa,15.33
1947,Johannesburg,South Africa,15.33
1948,Johannesburg,South Africa,15.14
1949,Johannesburg,South Africa,15.35
1950,Johannesburg,South Africa,15.35
1951,Johannesburg,South Africa,14.88
1952,Johannesburg,South Africa,15.27
1953,Johannesburg,South Africa,14.76
1954,Johannesburg,South Africa,14.91
1955,Johannesburg,South Africa,14.44
1956,Johannesburg,South Africa,15.14
1957,Johannesburg,South Africa,15.27
1958,Johannesburg,South Africa,15.54
1959,Johannesburg,South Africa,15.07
1960,Johannesburg,South Africa,15.14
1961,Johannesburg,South Africa,15.39
1962,Johannesburg,South Africa,15.57
1963,Johannesburg,South Africa,15.09
1964,Johannesburg,South Africa,15.15
1965,Johannesburg,South Africa,15.28
1966,Johannesburg,South Africa,15.64
1967,Johannesburg,South Africa,14.88
1968,Johannesburg,South Africa,15.09
1969,Johannesburg,South Africa,15.66
1970,Johannesburg,South Africa,15.83
1971,Johannesburg,South Africa,15.15
1972,Johannesburg,South Africa,15.31
1973,Johannesburg,South Africa,15.34
1974,Johannesburg,South Africa,14.93
1975,Johannesburg,South Africa,14.99
1976,Johannesburg,South Africa,14.62
1977,Johannesburg,South Africa,15.57
1978,Johannesburg,South Africa,15.30
1979,Johannesburg,South Africa,15.65
1980,Johannesburg,South Africa,15.08
1981,Johannesburg,South Africa,14.81
1982,Johannesburg,South Africa,15.69
1983,Johannesburg,South Africa,16.17
1984,Johannesburg,South Africa,15.68
1985,Johannesburg,South Africa,15.81
1986,Johannesburg,South Africa,15.72
1987,Johannesburg,South Africa,15.85
1988,Johannesburg,South Africa,15.43
1989,Johannesburg,South Africa,15.14
1990,Johannesburg,South Africa,15.56
1991,Johannesburg,South Africa,15.56
1992,Johannesburg,South Africa,16.48
1993,Johannesburg,South Africa,16.01
1994,Johannesburg,South Africa,15.10
1995,Johannesburg,South Africa,15.77
1996,Johannesburg,South Africa,15.23
1997,Johannesburg,South Africa,15.38
1998,Johannesburg,South Africa,16.11
1999,Johannesburg,South Africa,16.09
2000,Johannesburg,South Africa,15.13
2001,Johannesburg,South Africa,15.68
2002,Johannesburg,South Africa,15.88
2003,Johannesburg,South Africa,16.34
2004,Johannesburg,South Africa,15.49
2005,Johannesburg,South Africa,16.29
2006,Johannesburg,South Africa,15.26
2007,Johannesburg,South Africa,15.90
2008,Johannesburg,South Africa,15.75
2009,Johannesburg,South Africa,15.44
2010,Johannesburg,South Africa,16.11
2011,Johannesburg,South Africa,15.49
2012,Johannesburg,South Africa,15.89
2013,Johannesburg,South Africa,14.98
